branch,objective,pure_target_gain,mixture_target_gain,retained_fraction,pure_worst_non_target,mixture_worst_non_target,worst_delta_improvement,retains_50_percent,attenuates_by_0_01,mixture_meets_attenuation_rule,all_clean_families_nonnegative
mix_s060_c000_r040,retrieval,-0.003925833333333313,-0.007164999999999977,,-0.047056833333333346,-0.03993833333333333,0.007118500000000014,False,False,False,False
mix_s060_c020_r020,sts,0.010848675273712242,-0.02413833877171588,-2.225003344897439,-0.049525333333333345,-0.04280516666666668,0.006720166666666666,False,False,False,False
mix_s060_c020_r020,classification,0.02074561403508768,0.009473684210526264,0.4566596194503155,-0.25416083333333334,-0.04280516666666668,0.21135566666666666,False,True,False,False
mix_s060_c020_r020,retrieval,-0.003925833333333313,-0.034577499999999976,,-0.047056833333333346,-0.04280516666666668,0.0042516666666666675,False,False,False,False
mix_s060_c040_r000,sts,0.010848675273712242,-0.02185128743034762,-2.014189463601712,-0.049525333333333345,-0.09679999999999998,-0.04727466666666664,False,False,False,False
mix_s060_c040_r000,classification,0.02074561403508768,0.01214912280701752,0.5856236786469345,-0.25416083333333334,-0.09679999999999998,0.15736083333333334,True,True,False,False
mix_s080_c000_r020,sts,0.010848675273712242,-0.003745570888999633,-0.34525606071698367,-0.049525333333333345,-0.047665833333333345,0.0018595,False,False,False,False
mix_s080_c000_r020,retrieval,-0.003925833333333313,-0.025338333333333313,,-0.047056833333333346,-0.047665833333333345,-0.0006089999999999984,False,False,False,False
mix_s080_c020_r000,sts,0.010848675273712242,-0.0025080025223789206,-0.23118053210202893,-0.049525333333333345,-0.06675749999999998,-0.01723216666666664,False,False,False,False
mix_s080_c020_r000,classification,0.02074561403508768,0.00912280701754383,0.4397463002114159,-0.25416083333333334,-0.06675749999999998,0.18740333333333337,False,True,False,False
mix_s033_c033_r033,sts,0.010848675273712242,-0.055059309833857206,-5.075210423826871,-0.049525333333333345,-0.051842500000000014,-0.0023171666666666688,False,False,False,False
mix_s033_c033_r033,classification,0.02074561403508768,0.010175438596491171,0.4904862579281166,-0.25416083333333334,-0.055059309833857206,0.19910152349947613,False,True,False,False
