seed,branch,classification_inter_distance,classification_intra_distance,classification_margin,cosine_std,dimension,effective_rank,hubness_skew_k10,mean_cosine,neighborhood_preservation,participation_ratio,retrieval_margin,retrieval_negative_cosine,retrieval_positive_cosine,sample_size,sts_alignment,sts_mean_cosine,top10_eigenvalue_share,top_eigenvalue_share,uniformity
42,mix_s020_c040_r040,0.3362090289592743,0.21124710142612457,0.12496192753314972,0.11228073388338089,384.0,149.72410583496094,4.5651635785995195,0.5591766238212585,0.30716000000000004,60.46936921579223,0.17821769416332245,0.6052533388137817,0.7834709882736206,10000.0,0.13664399087429047,0.8356194496154785,0.3016763925552368,0.08371344208717346,-1.6701465845108032
42,mix_s020_c060_r020,0.2644926905632019,0.11976227909326553,0.14473041146993637,0.09372124820947647,384.0,106.6996841430664,3.950211893364489,0.7091959118843079,0.23603000000000002,31.90947855976628,0.130680114030838,0.6847161054611206,0.8153961300849915,10000.0,0.08929706364870071,0.8913819789886475,0.3956161141395569,0.13297352194786072,-1.0992074012756348
42,mix_s020_c080_r000,0.25549399852752686,0.08410392701625824,0.17139007151126862,0.06890235096216202,384.0,60.2370491027832,2.884643494605913,0.8144993782043457,0.17142000000000002,14.248237758186514,0.03185778111219406,0.8038619756698608,0.8357198238372803,10000.0,0.05738665908575058,0.928287923336029,0.5265986919403076,0.2197134643793106,-0.7068221569061279
42,mix_s040_c000_r060,0.8595917224884033,0.7783342599868774,0.08125746250152588,0.09434707462787628,384.0,201.9832000732422,1.8358056774295317,0.12981157004833221,0.61129,130.05731085510644,0.23136676847934723,0.49360573291778564,0.7249725461006165,10000.0,0.24235239624977112,0.7074410915374756,0.18980075418949127,0.029898595064878464,-3.406360626220703
42,mix_s040_c020_r040,0.4101997911930084,0.32595983147621155,0.08423995971679688,0.10227985680103302,384.0,177.07464599609375,4.392709646052532,0.47785547375679016,0.38456999999999997,93.32021091288426,0.1815756857395172,0.6001408696174622,0.7817165851593018,10000.0,0.14797241985797882,0.8193880915641785,0.24415826797485352,0.05260205641388893,-2.009178638458252
42,mix_s040_c040_r020,0.2948471009731293,0.16402608156204224,0.13082101941108704,0.08735624700784683,384.0,129.5667724609375,4.383990901194323,0.6736181378364563,0.28820999999999997,45.2268992513332,0.12829774618148804,0.6978740096092224,0.826171875,10000.0,0.09251725673675537,0.8840444087982178,0.3396841883659363,0.10532542318105698,-1.2489447593688965
42,mix_s040_c060_r000,0.25321388244628906,0.10660771280527115,0.1466061696410179,0.06277672946453094,384.0,90.7496566772461,3.8468284317546435,0.7905554175376892,0.21539,23.906423890657,0.03851320594549179,0.8021848797798157,0.8406980633735657,10000.0,0.06083619222044945,0.9188390374183655,0.4289371371269226,0.16246630251407623,-0.8081027865409851
42,mix_s060_c000_r040,0.6914418339729309,0.6177749037742615,0.07366693019866943,0.10369084775447845,384.0,187.51486206054688,2.8248048710288467,0.29314371943473816,0.49712,112.46819885637271,0.19907042384147644,0.5585758686065674,0.7576463222503662,10000.0,0.18390893936157227,0.7734441161155701,0.21576526761054993,0.03412005305290222,-2.741217613220215
42,mix_s060_c020_r020,0.3197672963142395,0.23286008834838867,0.08690720796585083,0.08317675441503525,384.0,159.13169860839844,4.813898251971192,0.6204527616500854,0.35158,72.57655883949677,0.13462363183498383,0.6899445652961731,0.8245682716369629,10000.0,0.102993443608284,0.8694286942481995,0.2768472135066986,0.07167591899633408,-1.4664088487625122
42,mix_s060_c040_r000,0.2865411043167114,0.14608846604824066,0.14045263826847076,0.06376651674509048,384.0,113.69355010986328,4.097480516671174,0.7463076710700989,0.25821000000000005,34.63522991670115,0.04657197371125221,0.7877329587936401,0.8343049883842468,10000.0,0.06964265555143356,0.9048904180526733,0.3695228099822998,0.12825126945972443,-0.9838985204696655
