model,seed,branch,classification_inter_distance,classification_intra_distance,classification_margin,cosine_std,dimension,effective_rank,hubness_skew_k10,mean_cosine,neighborhood_preservation,participation_ratio,retrieval_margin,retrieval_negative_cosine,retrieval_positive_cosine,sample_size,sts_alignment,sts_mean_cosine,top10_eigenvalue_share,top_eigenvalue_share,uniformity
raw_minilm,44,control,0.7697659730911255,0.6627079844474792,0.10705798864364624,0.1189185380935669,384.0,116.36618041992188,1.0719604786019867,0.012289016507565975,0.6086699999999999,69.662969950506,0.05477970466017723,0.13799947500228882,0.19277915358543396,10000.0,0.2621702551841736,0.7728108763694763,0.27677056193351746,0.0419776476919651,-3.830998182296753
raw_minilm,44,sts,0.26523616909980774,0.2238411009311676,0.04139506816864014,0.06435803323984146,384.0,98.0692367553711,2.5032000674573616,0.6936448216438293,0.3085,56.42859998262459,0.023198001086711884,0.7150400876998901,0.7382380366325378,10000.0,0.06480728089809418,0.9126883745193481,0.3344520330429077,0.047862738370895386,-1.1933887004852295
raw_minilm,44,classification,0.251682847738266,0.043647781014442444,0.20803506672382355,0.08540073037147522,384.0,13.467768669128418,1.705969079077129,0.8564971089363098,0.10394,4.620103837103571,0.006828970275819302,0.8674730062484741,0.8743019700050354,10000.0,0.02763313055038452,0.9713394045829773,0.8013904094696045,0.41338926553726196,-0.521676778793335
raw_minilm,44,retrieval,0.8533547520637512,0.7253475785255432,0.128007173538208,0.12904995679855347,384.0,98.583251953125,1.4657373777860083,0.08443788439035416,0.24485,58.252071752492895,0.18450243771076202,0.4444388449192047,0.6289412379264832,10000.0,0.22429870069026947,0.7579317092895508,0.318783164024353,0.04527696594595909,-3.521446466445923
all_minilm,42,m0,0.9633151292800903,0.8775431513786316,0.08577197790145874,0.08652155846357346,384.0,203.61087036132812,1.6685527377486646,0.043051283806562424,1.0,134.13811289384162,0.20274612307548523,0.5355883836746216,0.7383344769477844,10000.0,0.27814561128616333,0.6500272750854492,0.18197417259216309,0.03008764423429966,-3.7631335258483887
all_minilm,42,control,0.9722307324409485,0.9204731583595276,0.0517575740814209,0.07088514417409897,384.0,243.43283081054688,1.2002912818005622,0.0033106468617916107,0.4542,195.85063654939205,0.20148256421089172,0.47067421674728394,0.6721567511558533,10000.0,0.33507534861564636,0.6081929802894592,0.10987301915884018,0.013888716697692871,-3.9450416564941406
all_minilm,42,sts,0.3600308895111084,0.31764742732048035,0.04238346219062805,0.0686885342001915,384.0,172.20603942871094,4.107162015927619,0.6283057928085327,0.38254,98.88582761196778,0.09269990026950836,0.7435678839683533,0.8362677693367004,10000.0,0.0921068862080574,0.8743731379508972,0.23608580231666565,0.03905848413705826,-1.4507184028625488
all_minilm,42,classification,0.25726252794265747,0.0734291821718216,0.18383334577083588,0.0819474309682846,384.0,45.75993728637695,2.6294609710718557,0.8100769519805908,0.13479000000000002,10.805036024368032,0.03156355395913124,0.7584806084632874,0.7900441288948059,10000.0,0.07651229947805405,0.9005255699157715,0.5858566164970398,0.26127099990844727,-0.7109525203704834
all_minilm,42,retrieval,0.963205099105835,0.8930817246437073,0.07012337446212769,0.081441231071949,384.0,219.2616729736328,1.6121799039338378,0.03610987216234207,0.67385,153.87035527415375,0.2621751129627228,0.4573287069797516,0.7195038795471191,10000.0,0.3207213282585144,0.624462366104126,0.15925781428813934,0.024165652692317963,-3.7991280555725098
all_minilm,43,m0,0.9634212255477905,0.8773184418678284,0.08610278367996216,0.0864267647266388,384.0,203.61087036132812,1.6685527377486646,0.042331937700510025,1.0,134.13811289384162,0.20274612307548523,0.5355883836746216,0.7383344769477844,10000.0,0.27814561128616333,0.6500272750854492,0.18197417259216309,0.03008764423429966,-3.7660415172576904
all_minilm,43,control,0.9713100790977478,0.9197392463684082,0.0515708327293396,0.07162076979875565,384.0,241.22108459472656,1.3467798231994461,0.004918800666928291,0.44319,191.50494630331963,0.20210105180740356,0.46778345108032227,0.6698845028877258,10000.0,0.32659921050071716,0.6117227077484131,0.11514847725629807,0.01522953249514103,-3.9376659393310547
all_minilm,43,sts,0.3527001142501831,0.3108496069908142,0.041850507259368896,0.06552645564079285,384.0,173.09854125976562,4.9692734144319886,0.6452285051345825,0.37582,100.61113286172908,0.08918247371912003,0.7520288228988647,0.8412112593650818,10000.0,0.0893913060426712,0.8778578042984009,0.2325771600008011,0.0380532331764698,-1.3861041069030762
all_minilm,43,classification,0.25480812788009644,0.0733191967010498,0.18148893117904663,0.0817781463265419,384.0,46.75367736816406,2.5111719676660265,0.8063735365867615,0.13574,11.278732746521605,0.03422313556075096,0.7486951947212219,0.782918393611908,10000.0,0.07865942269563675,0.896832287311554,0.5835384130477905,0.25071030855178833,-0.7256742119789124
all_minilm,43,retrieval,0.9656923413276672,0.8955879211425781,0.07010442018508911,0.08148081600666046,384.0,218.78639221191406,1.6286472980631845,0.03441706672310829,0.68095,153.14997183060947,0.2608080506324768,0.4609803855419159,0.7217883467674255,10000.0,0.3207440972328186,0.6244202256202698,0.16008661687374115,0.024425476789474487,-3.8056893348693848
all_minilm,44,m0,0.9630271792411804,0.8755060434341431,0.08752113580703735,0.08612614125013351,384.0,203.61087036132812,1.6685527377486646,0.0422806441783905,1.0,134.13811289384162,0.20274612307548523,0.5355883836746216,0.7383344769477844,10000.0,0.27814561128616333,0.6500272750854492,0.18197417259216309,0.03008764423429966,-3.76702880859375
all_minilm,44,control,0.973540723323822,0.913480281829834,0.06006044149398804,0.07327277958393097,384.0,235.63760375976562,1.4221470140572494,0.004261189140379429,0.56445,181.4466161857146,0.2024165689945221,0.49415338039398193,0.6965699791908264,10000.0,0.31563127040863037,0.6215264797210693,0.12731602787971497,0.01788758859038353,-3.938084125518799
all_minilm,44,sts,0.36076995730400085,0.3173469305038452,0.04342302680015564,0.06621913611888885,384.0,176.79791259765625,4.7590155639829845,0.6297309994697571,0.37377,103.8436872723982,0.09109589457511902,0.7424673438072205,0.8335631489753723,10000.0,0.09231704473495483,0.8745022416114807,0.22759179770946503,0.03709723800420761,-1.4474163055419922
all_minilm,44,classification,0.25324657559394836,0.07175222784280777,0.1814943477511406,0.08190403133630753,384.0,45.92147445678711,2.5502725702820586,0.8099676370620728,0.13688000000000003,10.831497951193112,0.031951893121004105,0.7512779235839844,0.7832297682762146,10000.0,0.07771889865398407,0.8973225951194763,0.584882378578186,0.2595508396625519,-0.7113597989082336
all_minilm,44,retrieval,0.965971827507019,0.8938326239585876,0.0721392035484314,0.08123855292797089,384.0,218.79190063476562,1.6086200871704188,0.03496384620666504,0.6733600000000001,153.0953664373856,0.26144155859947205,0.4594041705131531,0.7208456993103027,10000.0,0.32065677642822266,0.6242794990539551,0.16025467216968536,0.024594195187091827,-3.8040413856506348
