model,seed,branch,step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
raw_minilm,42,retrieval,0,0.0,10000.0,384.0,0.0232684668153524,0.1299644559621811,-3.762267827987671,101.5591812133789,58.16110725474498,0.0534304492175579,0.3137886524200439,0.9208225148854536,1.0
raw_minilm,42,retrieval,68,0.25,10000.0,384.0,0.1307688355445861,0.1277025640010833,-3.3388473987579346,95.63320922851562,55.78075301717752,0.0461310297250747,0.3307090699672699,1.4593754831314525,0.28355
raw_minilm,42,retrieval,135,0.5,10000.0,384.0,0.1003997102379798,0.1293026655912399,-3.45717453956604,98.16262817382812,57.510069958517946,0.0483371317386627,0.3231903910636902,1.3861102433703123,0.26242
raw_minilm,42,retrieval,270,1.0,10000.0,384.0,0.0961074903607368,0.1299512237310409,-3.473285675048828,99.45574951171876,58.81214959634772,0.0452721379697322,0.3176739811897278,1.4648176430361657,0.24423
raw_minilm,42,sts,0,0.0,10000.0,384.0,0.0232684668153524,0.1299644559621811,-3.762267827987671,101.5591812133789,58.16110725474498,0.0534304492175579,0.3137886524200439,0.9208225148854536,1.0
raw_minilm,42,sts,68,0.25,10000.0,384.0,0.7594482898712158,0.0552127622067928,-0.9386194944381714,93.30843353271484,52.82733435576522,0.0532424673438072,0.3456668853759765,2.6734999538889386,0.30956
raw_minilm,42,sts,135,0.5,10000.0,384.0,0.7098573446273804,0.0635745823383331,-1.1293613910675049,95.5662078857422,54.76158711514482,0.0489453375339508,0.3403857946395874,2.557283606987772,0.30056
raw_minilm,42,sts,270,1.0,10000.0,384.0,0.6935056447982788,0.0652278214693069,-1.1931170225143433,97.7636489868164,55.87925527671737,0.0488483421504497,0.3366249203681946,2.5189348649916234,0.29791
raw_minilm,43,classification,0,0.0,10000.0,384.0,0.0211463775485754,0.1308811008930206,-3.768124103546143,99.05516052246094,56.83560150123581,0.0528504401445388,0.3199869692325592,0.9203791450957052,1.0
raw_minilm,43,classification,68,0.25,10000.0,384.0,0.845995306968689,0.0796663165092468,-0.5707017183303833,21.825672149658203,6.2717837579977695,0.3648165464401245,0.7129462361335754,1.9137416878793336,0.1477
raw_minilm,43,classification,135,0.5,10000.0,384.0,0.8583618998527527,0.0786660686135292,-0.5217252373695374,16.91750717163086,5.40911511485416,0.3816283345222473,0.7633278369903564,1.8099730742911744,0.12333
raw_minilm,43,classification,270,1.0,10000.0,384.0,0.8511929512023926,0.0864837020635604,-0.5414291620254517,13.926454544067385,4.766494751684534,0.4061527550220489,0.7961001396179199,1.6714581356370997,0.10805
raw_minilm,43,control,0,0.0,10000.0,384.0,0.0211463775485754,0.1308811008930206,-3.768124103546143,99.05516052246094,56.83560150123581,0.0528504401445388,0.3199869692325592,0.9203791450957052,1.0
raw_minilm,43,control,68,0.25,10000.0,384.0,0.0199436172842979,0.1250588595867157,-3.78696608543396,107.3462142944336,62.23216295448252,0.0479878410696983,0.3032667338848114,1.0488344774159104,0.69152
raw_minilm,43,control,135,0.5,10000.0,384.0,0.0127008873969316,0.1212697997689247,-3.823965311050415,113.9483642578125,67.49734634111991,0.0451959371566772,0.2842674553394317,1.0984185097071175,0.64196
raw_minilm,43,control,270,1.0,10000.0,384.0,0.0130433812737464,0.1187739819288253,-3.827935934066773,117.48197174072266,70.69847750712285,0.0431695468723773,0.2725769579410553,1.1182515343475794,0.61149
raw_minilm,43,retrieval,0,0.0,10000.0,384.0,0.0211463775485754,0.1308811008930206,-3.768124103546143,99.05516052246094,56.83560150123581,0.0528504401445388,0.3199869692325592,0.9203791450957052,1.0
raw_minilm,43,retrieval,68,0.25,10000.0,384.0,0.1130587086081504,0.1272458136081695,-3.409396886825561,94.90015411376952,55.09618974663157,0.0476750507950782,0.3338609933853149,1.4281201379329351,0.28284
raw_minilm,43,retrieval,135,0.5,10000.0,384.0,0.1093238741159439,0.1310302913188934,-3.417125701904297,96.44920349121094,56.1647367782135,0.0484193488955497,0.3276734054088592,1.5502648984415082,0.26582
raw_minilm,43,retrieval,270,1.0,10000.0,384.0,0.0890571698546409,0.1290691941976547,-3.5022244453430176,98.93663024902344,58.60263839739907,0.0447247102856636,0.3184758424758911,1.4014207943932369,0.25959
raw_minilm,43,sts,0,0.0,10000.0,384.0,0.0211463775485754,0.1308811008930206,-3.768124103546143,99.05516052246094,56.83560150123581,0.0528504401445388,0.3199869692325592,0.9203791450957052,1.0
raw_minilm,43,sts,68,0.25,10000.0,384.0,0.7499969005584717,0.0567334406077861,-0.975056767463684,88.46845245361328,49.56632105777346,0.0542302392423152,0.3655670881271362,2.846270654702609,0.31565
raw_minilm,43,sts,135,0.5,10000.0,384.0,0.729252815246582,0.0599959641695022,-1.0551153421401978,92.04852294921876,51.93767707147232,0.0514665283262729,0.3553141951560974,2.6350094975694023,0.28971
raw_minilm,43,sts,270,1.0,10000.0,384.0,0.6939411163330078,0.0666499957442283,-1.1899584531784058,94.17263793945312,53.35282026289297,0.0516071431338787,0.3478448987007141,2.4461311266491887,0.29031
