,AG News,AG News,sts,sts,classification_transfer,classification_transfer,clustering,clustering,retrieval,retrieval,effective_rank,effective_rank,top10_eigenvalue_share,top10_eigenvalue_share,neighborhood_preservation,neighborhood_preservation,retrieval_margin,retrieval_margin
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
branch,,,,,,,,,,,,,,,,,,
mix_s020_c060_r020,0.0167105263157894,0.0006029704861784014,-0.10118033065235993,0.00665013862506214,-0.0331571875,0.0014286202546622538,-0.0666668333333333,0.0027906846083592604,-0.0751191666666666,0.000585279491639165,-95.07545979817702,2.4819641575095237,0.20944396654764816,0.0054884102011904185,-0.7545166666666668,0.008235061222196994,-0.07022769252459206,0.004913400788904786
mix_s020_c080_r000,0.018333333333333233,0.0004620900768795267,-0.1112669705085035,0.0027695947300870796,-0.0686222708333333,0.0013851209789408744,-0.07512816666666666,0.002991890469808905,-0.1910716666666666,0.005726066676465905,-143.02458190917963,0.3344639298638946,0.34328995148340874,0.0012867245822664071,-0.82766,0.0010671925786848516,-0.1702067740261555,0.0010595683486265743
mix_s033_c033_r033,0.0101754385964911,0.00020099016205953242,-0.05505930983385717,0.0026812594611561567,-0.0072627916666666665,0.0007529240560073661,-0.05184249999999999,0.0005685395764588442,-0.03566833333333323,0.0035210663630970297,-52.60585530598953,3.8380842911148765,0.11444523930549629,0.007451814987983843,-0.68097,0.007321809885540564,-0.037553936243057244,0.004197260976046448
mix_s040_c000_r060,0.0035964912280700666,0.0011793271631358976,-0.00017179030365036666,0.0009154772330564589,0.012486291666666566,0.000473460128722138,-0.030396499999999996,0.004506932521127869,-8.499999999996676e-05,0.0024025351194102143,-2.6183115641275663,0.9165746337309798,0.009798894325892158,0.0018069367156057043,-0.3908566666666667,0.004620501415791744,0.027663071950276664,0.0016748910506221074
mix_s040_c020_r040,0.008464912280701667,0.0005478068419647247,-0.03016571795798363,0.0018736477265677881,0.0051433124999999665,0.0006584066111644301,-0.04592266666666663,0.002000813855243293,-0.016370833333333234,0.0030421387761463705,-27.98631286621088,2.461858199995931,0.06505192319552107,0.004559981901518392,-0.6090033333333335,0.008060113729553337,-0.01956694821516673,0.0028335158990454076
mix_s040_c040_r020,0.012719298245613965,0.000462090076879485,-0.05745651955873693,0.002933324136568106,-0.019938395833333233,0.0014963889155090446,-0.051784500000000004,0.0015076435255059468,-0.05493583333333327,0.001530043572364305,-74.26381937662755,0.7038301786689432,0.15850757559140527,0.0016090008577092651,-0.70423,0.007048212539360667,-0.07418457667032877,0.0052214349400709825
mix_s040_c060_r000,0.015087719298245534,0.0011495914405334586,-0.053328962679204034,0.0033227590784361445,-0.048636291666666664,0.0020474965662491567,-0.05981033333333333,0.002664415523775023,-0.13095666666666658,0.007331503228078988,-113.86700185139968,1.0171836238107028,0.25045482317606615,0.0031157497886454277,-0.78416,0.003795062581829282,-0.16304194803039238,0.0012245385055663408
mix_s060_c000_r040,0.0032017543859648,0.0011344313295068192,-0.0023496789098177,0.0011777172289811739,0.011485770833333233,0.00147632221104789,-0.0399383333333333,0.002556923460593512,-0.007164999999999901,0.0006350393688583412,-15.727681477864516,1.1456295111317933,0.03287517527739214,0.0013163522600342997,-0.4973366666666667,0.005794517523774754,-0.0035253316164017,0.0029213186396146156
mix_s060_c020_r020,0.009473684210526233,0.0012059409723568146,-0.024138338771715867,0.003560100510154137,-0.004658249999999967,0.0017739319222686875,-0.04280516666666667,0.002454914475767605,-0.0345774999999999,0.0012789082257926116,-44.20831298828119,2.2639320873918805,0.0936095615228018,0.00369022895997062,-0.6315766666666667,0.015281408093933385,-0.06449954708417256,0.004779694617974493
mix_s060_c040_r000,0.0121491228070175,0.0005933223358977535,-0.021851287430347564,0.004209105416088699,-0.024376166666666668,0.004907381890665667,-0.043446499999999964,0.00555924203466618,-0.09679999999999993,0.003174430066956866,-88.06664530436193,2.5779073531713497,0.18287905057271328,0.005996657611555459,-0.7419566666666667,0.004162503253251939,-0.15414239217837655,0.001762961817537838
mix_s080_c000_r020,0.003947368421052567,0.0008628208584607967,-0.003745570888999633,0.003640968240580864,0.002160312499999933,0.00023875193062049418,-0.047665833333333296,0.003211237858417367,-0.025338333333333237,0.001505561218726536,-28.30705261230463,0.4985348421725368,0.05487448970476789,0.0016743926741131176,-0.5623733333333334,0.01693871994376594,-0.0472350319226583,0.002037848054138852
mix_s080_c020_r000,0.009122807017543767,0.0005317699847798874,-0.0025080025223788997,0.00047695586469984215,-0.012237270833333334,0.0004940294001140861,-0.03900033333333333,0.0019520146857371092,-0.0667574999999999,0.0029152347675616033,-59.56541442871088,2.440680423178944,0.1186964412530264,0.004074836955489772,-0.6817733333333332,0.008726891390027327,-0.13779842356840774,0.002333418320996161
