branch,seed,AG News,sts,classification_transfer,clustering,retrieval,effective_rank,top10_eigenvalue_share,neighborhood_preservation,retrieval_margin
mix_s040_c020_r040,42,0.0090789473684209,-0.0314517378177022,0.0048584374999999,-0.047851,-0.0129824999999999,-26.536224365234318,0.062184095382690485,-0.6154300000000001,-0.02117043733596799
mix_s040_c020_r040,43,0.0082894736842105,-0.0310294165246756,0.0046753125,-0.0460605,-0.0188674999999999,-30.828826904296818,0.07031011581420901,-0.61162,-0.02123510837554929
mix_s040_c020_r040,44,0.0080263157894736,-0.0280159995315731,0.0058961875,-0.0438564999999999,-0.0172624999999999,-26.593887329101506,0.0626615583896637,-0.59996,-0.016295298933982905
mix_s040_c040_r020,42,0.0127631578947368,-0.0598309909699611,-0.0193089374999999,-0.0519415,-0.0534124999999999,-74.04409790039057,0.15771001577377328,-0.7117900000000001,-0.07444837689399719
mix_s040_c040_r020,43,0.0122368421052631,-0.0541774414527198,-0.0216466874999999,-0.0502045,-0.0549225,-75.05130004882807,0.16035956144332889,-0.69784,-0.0792691111564636
mix_s040_c040_r020,44,0.013157894736842,-0.0583611262535299,-0.0188595624999999,-0.0532075,-0.0564724999999999,-73.696060180664,0.15745314955711368,-0.70306,-0.06883624196052551
mix_s040_c060_r000,42,0.0160526315789473,-0.0529935166812348,-0.050705,-0.059756,-0.1333299999999999,-112.86121368408197,0.2469629645347596,-0.78461,-0.1642329171299935
mix_s040_c060_r000,43,0.0153947368421052,-0.0568067211583859,-0.0466106875,-0.0625015,-0.1368074999999999,-113.84458160400385,0.2514503598213196,-0.7877100000000001,-0.1617863960564137
mix_s040_c060_r000,44,0.0138157894736841,-0.0501866501979914,-0.0485931875,-0.0571735,-0.1227325,-114.89521026611322,0.25295114517211925,-0.78016,-0.1631065309047699
mix_s060_c000_r040,42,0.0042105263157894,-0.0030452876670034,0.0097841874999999,-0.0428495,-0.0068599999999999,-16.096008300781193,0.033791095018386896,-0.50288,-0.003675699234008789
mix_s060_c000_r040,43,0.0034210526315788,-0.0030138598147809,0.0124259374999999,-0.0380564999999999,-0.0078949999999999,-16.643844604492102,0.0334677398204804,-0.4978100000000001,-0.006368562579154996
mix_s060_c000_r040,44,0.0019736842105262,-0.0009898892476688,0.0122471874999999,-0.038909,-0.0067399999999999,-14.443191528320256,0.031366690993309104,-0.4913200000000001,-0.0005317330360413153
mix_s060_c020_r020,42,0.0105263157894736,-0.0273112870592687,-0.006679125,-0.0443975,-0.0357849999999999,-44.47917175292963,0.0948730409145356,-0.64842,-0.0681224912405014
mix_s060_c020_r020,43,0.0097368421052631,-0.0202883242559146,-0.0033581874999999,-0.039978,-0.0347099999999999,-46.32463073730463,0.0965020954608918,-0.6186,-0.06629379093647
mix_s060_c020_r020,44,0.008157894736842,-0.0248154049999643,-0.0039374375,-0.04404,-0.0332374999999999,-41.82113647460932,0.08945354819297799,-0.62771,-0.05908235907554629
mix_s060_c040_r000,42,0.0127631578947368,-0.0238986235164547,-0.02978075,-0.0388685,-0.1004624999999999,-89.91732025146479,0.1875486373901368,-0.74179,-0.15617414936423302
mix_s060_c040_r000,43,0.0121052631578947,-0.0246450635082524,-0.020199,-0.0496324999999999,-0.0950974999999999,-85.12218475341791,0.17611637711524972,-0.7462,-0.1530169397592545
mix_s060_c040_r000,44,0.011578947368421,-0.0170101752663356,-0.02314875,-0.0418385,-0.09484,-89.16043090820307,0.18497213721275338,-0.7378800000000001,-0.1532360874116421
mix_s080_c000_r020,42,0.003157894736842,-0.0068948921547747,0.0023031874999999,-0.0513649999999999,-0.0242549999999999,-28.464294433593693,0.05536711215972909,-0.5815600000000001,-0.0476036220788956
mix_s080_c000_r020,43,0.0048684210526315,0.0002411389562012,0.0018846874999999,-0.046038,-0.0270574999999999,-27.748855590820256,0.053009048104286194,-0.54949,-0.049063429236412104
mix_s080_c000_r020,44,0.0038157894736842,-0.0045829594684254,0.0022930625,-0.0455945,-0.0247024999999999,-28.708007812499943,0.05624730885028839,-0.5560700000000001,-0.04503804445266721
mix_s080_c020_r000,42,0.0096052631578946,-0.0027457939331915,-0.01278625,-0.037013,-0.0700699999999999,-57.30545043945307,0.11476707458496102,-0.6824,-0.13829994201660162
mix_s080_c020_r000,43,0.0085526315789473,-0.0028193141281371,-0.0120970625,-0.039073,-0.0645824999999999,-59.237197875976506,0.11841961741447457,-0.67275,-0.1352550238370896
mix_s080_c020_r000,44,0.0092105263157894,-0.0019588995058081,-0.0118285,-0.040915,-0.0656199999999999,-62.15359497070307,0.12290263175964358,-0.69017,-0.13984030485153198
mix_s100_c000_r000,42,0.0007894736842104,0.0086453287989681,-0.0038111875,-0.050303,-0.0365824999999999,-27.42790222167963,0.04768510162830361,-0.63016,-0.1106007844209671
mix_s100_c000_r000,43,0.0014473684210525,0.0135648905450016,-0.0043070624999999,-0.0475175,-0.0430174999999999,-28.708068847656193,0.04658281803131109,-0.61416,-0.1118039935827255
mix_s100_c000_r000,44,0.0013157894736841,0.0103358064771669,-0.0064400625,-0.0507555,-0.0432949999999999,-30.762161254882756,0.05428795516490939,-0.6214,-0.1123171672224999
