branch,weight_sts,weight_classification,weight_retrieval,classification_mean,classification_std,classification_transfer_mean,classification_transfer_std,clustering_mean,clustering_std,retrieval_mean,retrieval_std,sts_mean,sts_std,ag_news_mean,ag_news_std,broad_mean,broad_worst
mix_s020_c060_r020,0.2,0.6,0.2,-0.023183644736842066,0.001078050475016254,-0.0331571875,0.0014286202546622538,-0.0666668333333333,0.0027906846083592604,-0.0751191666666666,0.000585279491639165,-0.10118033065235993,0.00665013862506214,0.0167105263157894,0.0006029704861784014,-0.06903087953808995,-0.10118033065235993
mix_s020_c080_r000,0.2,0.8,0.0,-0.05123114999999997,0.0010382210283617975,-0.0686222708333333,0.0013851209789408744,-0.07512816666666666,0.002991890469808905,-0.1910716666666666,0.005726066676465905,-0.1112669705085035,0.0027695947300870796,0.018333333333333233,0.0004620900768795267,-0.11152226866879253,-0.1910716666666666
mix_s033_c033_r033,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0037751456140350664,0.0006406650398275108,-0.0072627916666666665,0.0007529240560073661,-0.05184249999999999,0.0005685395764588442,-0.03566833333333323,0.0035210663630970297,-0.05505930983385717,0.0026812594611561567,0.0101754385964911,0.00020099016205953242,-0.03745823370846427,-0.05505930983385717
mix_s040_c000_r060,0.4,0.0,0.6,0.0107083315789473,0.0006124203973203187,0.012486291666666566,0.000473460128722138,-0.030396499999999996,0.004506932521127869,-8.499999999996676e-05,0.0024025351194102143,-0.00017179030365036666,0.0009154772330564589,0.0035964912280700666,0.0011793271631358976,-0.004541749659245941,-0.030396499999999996
mix_s040_c020_r040,0.4,0.2,0.4,0.0058076324561403,0.0004709129568379019,0.0051433124999999665,0.0006584066111644301,-0.04592266666666663,0.002000813855243293,-0.016370833333333234,0.0030421387761463705,-0.03016571795798363,0.0018736477265677881,0.008464912280701667,0.0005478068419647247,-0.021828976364495885,-0.04592266666666663
mix_s040_c040_r020,0.4,0.4,0.2,-0.013406857017543801,0.0012859273445088124,-0.019938395833333233,0.0014963889155090446,-0.051784500000000004,0.0015076435255059468,-0.05493583333333327,0.001530043572364305,-0.05745651955873693,0.002933324136568106,0.012719298245613965,0.000462090076879485,-0.04602881218135086,-0.05745651955873693
mix_s040_c060_r000,0.4,0.6,0.0,-0.03589148947368417,0.0015834295609294519,-0.048636291666666664,0.0020474965662491567,-0.05981033333333333,0.002664415523775023,-0.13095666666666658,0.007331503228078988,-0.053328962679204034,0.0033227590784361445,0.015087719298245534,0.0011495914405334586,-0.07318306358646764,-0.13095666666666658
mix_s060_c000_r040,0.6,0.0,0.4,0.009828967543859568,0.001027185435404586,0.011485770833333233,0.00147632221104789,-0.0399383333333333,0.002556923460593512,-0.007164999999999901,0.0006350393688583412,-0.0023496789098177,0.0011777172289811739,0.0032017543859648,0.0011344313295068192,-0.009491810352454416,-0.0399383333333333
mix_s060_c020_r020,0.6,0.2,0.2,-0.0018318631578947001,0.0012785841316079682,-0.004658249999999967,0.0017739319222686875,-0.04280516666666667,0.002454914475767605,-0.0345774999999999,0.0012789082257926116,-0.024138338771715867,0.003560100510154137,0.009473684210526233,0.0012059409723568146,-0.026544813859595603,-0.04280516666666667
mix_s060_c040_r000,0.6,0.4,0.0,-0.0170711087719298,0.0038411652446651754,-0.024376166666666668,0.004907381890665667,-0.043446499999999964,0.00555924203466618,-0.09679999999999993,0.003174430066956866,-0.021851287430347564,0.004209105416088699,0.0121491228070175,0.0005933223358977535,-0.04661848852425353,-0.09679999999999993
mix_s080_c000_r020,0.8,0.0,0.2,0.002517723684210433,6.92781136869154e-05,0.002160312499999933,0.00023875193062049418,-0.047665833333333296,0.003211237858417367,-0.025338333333333237,0.001505561218726536,-0.003745570888999633,0.003640968240580864,0.003947368421052567,0.0008628208584607967,-0.01864735626391656,-0.047665833333333296
mix_s080_c020_r000,0.8,0.2,0.0,-0.007965255263157866,0.00034363012549971906,-0.012237270833333334,0.0004940294001140861,-0.03900033333333333,0.0019520146857371092,-0.0667574999999999,0.0029152347675616033,-0.0025080025223788997,0.00047695586469984215,0.009122807017543767,0.0005317699847798874,-0.030125776672261365,-0.0667574999999999
mix_s100_c000_r000,1.0,0.0,0.0,-0.0036453745614034665,0.0010850457154203829,-0.0048527708333333,0.001396815710896891,-0.04952533333333333,0.0017534922535709532,-0.0409649999999999,0.0037978916848693824,0.0108486752737122,0.0024995595102160323,0.0011842105263156666,0.00034812517250849975,-0.021123607223238583,-0.04952533333333333
