branch,seed,classification_inter_distance,classification_intra_distance,classification_margin,cosine_std,dimension,effective_rank,hubness_skew_k10,mean_cosine,neighborhood_preservation,participation_ratio,retrieval_margin,retrieval_negative_cosine,retrieval_positive_cosine,sample_size,sts_alignment,sts_mean_cosine,top10_eigenvalue_share,top_eigenvalue_share,uniformity,weight_sts,weight_classification,weight_retrieval
mix_s020_c080_r000,0.0,-0.7089948604504268,-0.792738288640976,0.08374342819054922,-0.01703700174887976,0.0,-143.0245819091796,1.2093817450015625,0.7709022512038548,-0.82766,-119.92300769461646,-0.1702067740261555,0.2659092346827189,0.09570252895355225,0.0,-0.22135639811555544,0.2788204550743103,0.3432899514834087,0.19225512010355797,3.054761509100596,0.2,0.8,0.0
mix_s033_c033_r033,0.0,-0.6351633568604786,-0.6651467829942704,0.02998342613379161,0.01706123103698093,0.0,-52.60585530598951,2.7252890948328066,0.5414279252290726,-0.6809700000000001,-71.9204040813824,-0.03755393624305725,0.09812138477961219,0.06056751807530725,0.0,-0.15934331715106964,0.2034096121788025,0.1144452393054963,0.053096714739998205,2.180486559867859,0.3333333333333333,0.3333333333333333,0.3333333333333333
mix_s040_c000_r060,0.0,-0.11446738243103027,-0.10982096195220947,-0.004646420478820801,0.009425779183705602,0.0,-2.6183115641275094,0.25539050562088406,0.09453681111335752,-0.39085666666666674,-5.454035104641832,0.027663071950276646,-0.03645948568979901,-0.008796393871307373,0.0,-0.04260670642058048,0.0633948644002279,0.009798894325892149,-9.059471388656731e-05,0.39044491449991847,0.4,0.0,0.6
mix_s040_c020_r040,0.0,-0.5511766970157623,-0.5532205402851105,0.0020438432693481445,0.017848139007886232,0.0,-27.986312866210852,2.6390576479385413,0.432234729329745,-0.6090033333333333,-42.92479014597532,-0.019566948215166746,0.06520285209019983,0.04563593864440918,0.0,-0.13291378815968827,0.17190476258595788,0.06505192319552108,0.024170001968741427,1.746891101201375,0.4,0.2,0.4
mix_s040_c040_r020,0.0,-0.6721907158692677,-0.7134909878174465,0.04130027194817862,0.001550766328970582,0.0,-74.26381937662751,2.6749180722424963,0.631158784031868,-0.7042300000000001,-89.09729417601551,-0.07418457667032877,0.16479102770487464,0.09060649077097571,0.0,-0.18845949073632556,0.23635675509770715,0.1585075755914053,0.07610091132422286,2.517379562060038,0.4,0.4,0.2
mix_s040_c060_r000,0.0,-0.7058787047863007,-0.7698256522417068,0.06394694745540622,-0.022473615904649136,0.0,-113.86700185139965,2.0515566162771774,0.7454878240823746,-0.7841600000000001,-110.80988132533291,-0.16304194803039238,0.26664803425470984,0.10360614458719886,0.0,-0.21725430463751158,0.2689454356829325,0.25045482317606615,0.1358116523673137,2.948228935400645,0.4,0.6,0.0
mix_s060_c000_r040,0.0,-0.2825056711832682,-0.27014046907424927,-0.012365202109018966,0.01743789265553153,0.0,-15.727681477864508,1.1479926527387254,0.25605991979440057,-0.49733666666666665,-21.105711833281518,-0.003525331616401728,0.02414649724960327,0.020621200402577755,0.0,-0.09942224125067395,0.12882393598556519,0.032875175277392144,0.0037215010573466677,1.0460234483083086,0.6,0.0,0.4
mix_s060_c020_r020,0.0,-0.6314090987046559,-0.6344216267267864,0.0030125280221303535,-0.001247738798459408,0.0,-44.208312988281165,2.9163983737219388,0.5641611566146214,-0.6315766666666667,-60.26902168385031,-0.06449954708417258,0.1509976784388224,0.0864982008934021,0.0,-0.17531833052635193,0.2180667519569397,0.09360956152280178,0.0389058397461971,2.2465802033742266,0.6,0.2,0.2
mix_s060_c040_r000,0.0,-0.684795578320821,-0.7332472999890646,0.04845172166824341,-0.02263375620047256,0.0,-88.0666453043619,2.539786974624846,0.7032194485267003,-0.7419566666666666,-98.70691658332026,-0.15414239217837652,0.2491269508997599,0.09498465061187744,0.0,-0.20771946509679162,0.25396190087000514,0.18287905057271328,0.0974502718696992,2.7793118556340533,0.6,0.4,0.0
mix_s080_c000_r020,0.0,-0.46509677171707153,-0.4389014045397441,-0.02619536717732749,0.008697507282098102,0.0,-28.307052612304602,1.9064135550942323,0.4502440243959427,-0.5623733333333334,-34.116261418032906,-0.047235031922658294,0.11225342750549316,0.0650184154510498,0.0,-0.1559962506095568,0.19423788785934448,0.05487448970476788,0.007319215064247469,1.805537700653076,0.8,0.0,0.2
mix_s080_c020_r000,0.0,-0.6594173808892568,-0.6764230976502101,0.017005716760953263,-0.02298097809155783,0.0,-59.56541442871085,3.062351628110907,0.6514730403820674,-0.6817733333333333,-76.27931568431126,-0.13779842356840774,0.2257564663887024,0.08795805772145593,0.0,-0.19786470631758368,0.2400235732396444,0.11869644125302639,0.05879792384803301,2.572209556897481,0.8,0.2,0.0
mix_s100_c000_r000,0.0,-0.6050875087579093,-0.560900906721751,-0.04418660203615823,-0.019000038504600525,0.0,-28.966044108072822,2.989766048260421,0.5889965047438939,-0.6219066666666668,-32.58360457683462,-0.11157398174206416,0.20776355266571045,0.09618959824244178,0.0,-0.18573608994483942,0.22480144103368127,0.04951862494150802,0.008045936003327401,2.326305588086446,1.0,0.0,0.0
